State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.93033	0.93074	0.93684	0.94822	0.95636	0.96123	0.96733	0.96286	0.96530	0.95473	0.94294	0.94050	0.93521	0.92057	0.89902	0.89496	0.88520	0.87422	0.86202	0.85470	0.85999
2	0.65011	0.65216	0.65256	0.65339	0.65148	0.65002	0.64806	0.65055	0.65099	0.65685	0.66798	0.67628	0.68576	0.69069	0.69831	0.70534	0.71261	0.71940	0.72697	0.73556	0.74357
3	1.05064	1.04156	1.03247	1.03247	1.04496	1.05973	1.07904	1.09608	1.11879	1.09608	1.06427	1.06654	1.07563	1.09721	1.13015	1.14492	1.17331	1.19376	1.21534	1.23351	1.24373
4	3.43118	3.42670	3.43416	3.45304	3.46049	3.46943	3.46794	3.43267	3.38745	3.36510	3.33727	3.29256	3.25728	3.20313	3.14500	3.07395	2.98253	2.91993	2.84192	2.78578	2.71672
5	1.46748	1.49324	1.50495	1.45811	1.44991	1.40540	1.34919	1.33748	1.31054	1.28243	1.23793	1.22270	1.23090	1.20748	1.19459	1.14775	1.15712	1.16297	1.18757	1.17000	1.14189
6	2.04791	2.03921	2.04501	2.10883	2.07692	2.04791	2.12913	2.17554	2.26836	2.25676	2.18134	2.12913	1.99570	1.96089	1.92028	1.91738	1.87677	1.80425	1.66792	1.70853	1.79555
7	1.16663	1.16192	1.21607	1.17722	1.23373	1.28082	1.36676	1.33144	1.38913	1.41149	1.44092	1.43504	1.39266	1.45152	1.46564	1.44916	1.48919	1.52333	1.56924	1.53275	1.51980
8	1.84311	1.76355	1.60178	1.58852	1.64952	1.69990	1.60443	1.77946	1.81924	1.79007	1.70786	1.60709	1.56996	1.55670	1.55670	1.69990	1.67604	1.73703	1.73703	1.75825	1.68134
9	3.13051	3.10429	3.02889	2.98628	2.79615	2.72732	2.70765	2.58964	2.61259	2.58964	2.49458	2.56997	2.57980	2.65192	2.77649	2.80927	2.79615	2.72732	2.69454	2.65192	2.73715
10	3.67067	3.65554	3.63537	3.56479	3.55470	3.53957	3.53957	3.59000	3.46898	3.45890	3.37823	3.25217	3.09082	3.04040	2.83872	2.77317	2.86897	2.79334	2.84376	2.72275	2.52611
