State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.26332	1.28701	1.29849	1.27803	1.25112	1.18436	1.09284	0.98445	0.87643	0.81075	0.77881	0.77701	0.83192	0.90550	0.99415	1.08279	1.14596	1.17934	1.20446	1.19513	1.19154
2	0.74164	0.72203	0.69419	0.65519	0.60287	0.54004	0.47113	0.41049	0.37114	0.35171	0.34360	0.34623	0.36020	0.37731	0.39972	0.42592	0.45733	0.48461	0.50603	0.52293	0.53848
3	0.88625	0.86118	0.83913	0.81707	0.78198	0.72183	0.65666	0.55841	0.50027	0.48423	0.49626	0.48523	0.48723	0.50327	0.54438	0.57746	0.60754	0.63862	0.65466	0.68473	0.70579
4	0.89812	0.83453	0.76656	0.69683	0.61702	0.55957	0.51528	0.46792	0.44160	0.43064	0.42582	0.43152	0.44117	0.45915	0.48634	0.53721	0.61526	0.75735	0.91347	1.09283	1.23228
5	1.28906	1.09472	0.89108	0.69053	0.57062	0.50860	0.46104	0.46001	0.44347	0.45381	0.45381	0.47035	0.48585	0.50033	0.51583	0.53754	0.67813	1.13400	1.76045	2.46855	3.18803
6	2.77539	2.71394	2.40926	2.03545	1.64629	1.15982	1.02413	0.84747	0.80906	0.76554	0.80394	0.78858	0.78346	0.87051	0.95244	1.36721	2.79843	4.53945	6.10124	6.76180	6.91286
7	2.52807	2.66731	2.82837	3.08086	3.26374	3.18996	2.76290	2.18622	1.65837	1.70824	1.61057	1.28845	1.17000	1.23234	1.27183	1.46718	1.59498	1.72175	1.71448	1.67083	1.50978
8	2.86273	3.17405	3.83415	4.65341	5.80037	7.21887	8.58586	8.81526	8.18091	9.21084	9.33958	6.06488	5.88698	5.95486	6.16319	6.00636	5.24328	4.08226	3.12724	2.55610	2.25180
9	4.13748	4.77691	5.63624	7.39250	10.32635	15.40706	22.90661	31.64451	38.80554	39.77481	40.66017	44.92207	42.49745	36.33462	26.42202	16.92317	10.51152	6.76753	4.82610	3.62536	2.74868
10	6.71125	7.97072	9.63073	10.89020	11.30854	10.39175	7.51678	4.94443	3.46243	2.83492	2.80822	3.55589	5.84341	11.78029	22.38121	31.17081	33.89002	31.51349	26.75598	22.09638	18.28237
