State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.55065	0.57623	0.82310	0.91404	0.94304	0.77883	1.17148	1.62782
2	71.20859	0.28054	0.58443	0.80745	0.66805	0.34361	0.52936	1.10001
3	3.06103	0.55800	1.08200	0.79904	1.06438	0.49627	0.65145	0.91102
4	6.99785	0.62976	3.72187	2.17982	3.33663	0.42583	0.68132	0.27471
5	2.96866	0.42322	1.63410	2.28762	1.23689	0.45382	0.87245	0.14068
6	1.19860	0.27520	1.93002	2.24583	2.18157	0.80397	2.10592	0.11921
7	2.95340	0.83421	1.12062	1.08446	1.44107	1.61062	2.05197	0.47634
8	1.31104	10.17882	2.04478	1.04052	1.70804	9.33987	5.66909	0.51939
9	1.06064	46.33294	6.48026	1.34164	2.49484	40.65853	17.86748	0.27905
10	0.68955	3.54377	2.84288	2.19614	3.37858	2.80831	11.55610	0.13841
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
