State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27ac	H3k04me3	H2AZ	H3k27me3
1	0.014080406617617778	3.3894325805956826E-4	0.007416959404938871	8.30919383273366E-5	0.0024524410546332893	0.0025449557105629676	3.641070298460033E-5	1.1055489812245367E-4	1.0671687957834866E-4	0.010540227978865162	0.3957950471004538
2	0.00847925235821814	9.298143687097528E-4	0.001519346818980778	1.8607689669568623E-4	6.509656873478757E-4	6.54545617604304E-5	2.0316901419900224E-5	7.901863336408128E-5	2.4642545047981265E-5	0.006480750927515247	0.004802096213908263
3	0.5009460298409077	0.08447841249295115	0.008371497792819335	0.004300900207645726	0.002794502310700081	2.37507653405386E-4	3.908701873661832E-4	2.1615068660657454E-4	0.0026649241363175635	0.011819992297692174	0.007713320823204779
4	0.0032812664452810175	0.2088143962023396	0.021765511649023458	0.04038829773070016	0.017228378922937347	1.143306331874087E-4	3.767388499384821E-4	7.849858007008734E-4	1.7920726928178887E-5	3.637747618420324E-5	3.702682056246766E-5
5	0.04487266216921072	0.24362064920000356	0.11675367072482139	0.7072205282244838	0.05792697576027428	9.124141039327884E-4	5.367714432834061E-4	9.534143703682291E-4	3.274727404788398E-4	4.321562751314996E-5	7.812474667300866E-5
6	0.01263055452139114	0.27245086232897825	0.19142547449590752	0.7880112328365289	0.8320075048005363	0.27153643547407197	0.10422218010381812	0.09515710414278292	0.030396160007431092	0.001255762607164869	1.4027782162908406E-4
7	0.011798443503951815	0.010248581769395724	0.003856411738403032	0.005162704506756012	0.5027452788593776	0.07832270670612876	0.017217235178118167	0.01993818338363308	0.0014048247988055157	0.1809670565201792	0.0025249785067108124
8	0.020948849784046313	0.014363993482903336	0.00766738222238669	0.010310279939865198	0.7287599680636953	0.7977672250801453	0.4035200095787616	0.33295500337282957	0.344939154368123	0.5324936920455153	0.06769410528810363
9	0.003944782027528555	0.0036312426792448355	0.001510820912487561	0.21076894635432758	0.374774708093676	0.8999783179736222	0.9896209050404642	0.9909285153074034	0.9894223929573013	0.8673150944977275	0.014036903699901893
10	0.008611138355587153	0.23796883302139732	0.15966851947560082	0.919789558342608	0.7509203368149209	0.9788751611158195	0.9006583949227034	0.817527139709789	0.7993546471584969	0.04792850443472584	1.9497327972215164E-4
