State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9610574726769655	0.03443106335935994	8.180457488503187E-4	0.0	0.0	0.0	7.512605875388698E-5	0.003607135319681904	1.1156836388583911E-5	0.0
2	0.004339878452179638	0.9794590427523046	0.005118546440521801	5.819808382972448E-4	0.0	0.0	0.009612301310609717	7.885922787959881E-4	9.819137755400166E-5	1.4665497370799882E-6
3	0.001924540514221433	0.10312542122573683	0.8861601951438303	0.003944300572093643	5.496506524235704E-4	4.370208986145979E-5	0.002326688434661569	0.0018627441015482212	3.240860764098816E-5	3.0348657982147962E-5
4	0.0	0.005900776865301092	0.001996825231760404	0.9666482385952871	0.012995381705739313	0.006477078043810856	0.005174275522432907	4.393979876225015E-4	7.346955621545835E-5	2.9455649183023405E-4
5	7.21171704293553E-6	0.0	7.611768740175248E-4	0.03077842365873056	0.9194753090465698	0.04730290707277796	0.0	0.0	8.23260917579436E-6	0.00166673902168548
6	0.0	0.0	1.4998362053810359E-4	0.03765730420573032	0.11438707456148375	0.772490332701027	0.007321533900701018	0.0032144699677568323	0.0	0.06477930104276304
7	1.717168745444913E-4	0.19610147986100865	0.0024087828024376345	0.010357874090064587	0.0	0.002598166012413467	0.7006569051942069	0.08234281897347875	0.005172149731193791	1.9010646065170227E-4
8	0.023295401235882595	0.04080825952582191	0.004981526503894532	0.00256835652153878	0.0	0.003112109844684698	0.21329067382241865	0.5931823820361308	0.11673942209911788	0.0020218684105101983
9	7.735065444786754E-5	0.006001978507965911	1.3376325850655735E-4	4.8443427896681526E-4	1.203462476435084E-5	0.0	0.0173390885690671	0.14499856607748307	0.7895803118549487	0.041372472173849664
10	0.0	9.339458275873975E-5	1.7401996739275502E-4	0.0030791132513745285	0.008014311097480402	0.11648502695160151	0.0012484628901519408	0.004070184639974586	0.0612436484508411	0.8055918381684245
